"date","deviceCategory","channelGrouping","Sessions","GoalCompletions","DeviceClass","DesktopDummy","MobileDummy","TabletDummy","ChannelClass","OtherDummy","DirectDummy","DisplayDummy","OrganicSearchDummy","PaidSearchDummy","ReferralDummy","SocialDummy","EmailDummy","BreakTimeClass","BreakTimeDummy1","BreakTimeDummy2","BreakTimeDummy3"
2016-01-04,"mobile","Referral",2072,4,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-04,"tablet","Referral",425,4,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-04,"desktop","Social",398,13,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-04,"mobile","Social",5207,13,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-04,"tablet","Social",718,0,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-05,"desktop","(Other)",106,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-05,"mobile","(Other)",133,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-05,"desktop","Direct",1913,55,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-05,"mobile","Direct",5075,67,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-05,"tablet","Direct",292,4,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-05,"desktop","Display",12859,13,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-05,"mobile","Display",20086,46,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-05,"tablet","Display",4835,17,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-05,"desktop","Organic Search",7493,67,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-05,"mobile","Organic Search",5871,67,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-05,"tablet","Organic Search",903,8,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-05,"desktop","Paid Search",1515,25,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-05,"mobile","Paid Search",2205,30,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-05,"tablet","Paid Search",797,13,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-05,"desktop","Referral",2949,30,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-05,"mobile","Referral",1594,17,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-05,"tablet","Referral",213,4,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-05,"desktop","Social",425,13,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-05,"mobile","Social",6696,17,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-05,"tablet","Social",1036,8,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-06,"desktop","(Other)",133,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-06,"mobile","(Other)",106,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-06,"tablet","(Other)",80,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-06,"desktop","Direct",1727,13,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-06,"mobile","Direct",5633,55,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-06,"tablet","Direct",398,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-06,"desktop","Display",18440,76,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-06,"mobile","Display",23168,34,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-06,"tablet","Display",5686,34,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-06,"desktop","Organic Search",7493,105,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-06,"mobile","Organic Search",4968,30,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-06,"tablet","Organic Search",771,0,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-06,"desktop","Paid Search",1488,34,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-06,"mobile","Paid Search",2471,30,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-06,"tablet","Paid Search",718,17,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-06,"desktop","Referral",2923,25,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-06,"mobile","Referral",1143,17,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-06,"tablet","Referral",425,4,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-06,"desktop","Social",1169,4,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-06,"mobile","Social",6722,38,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-06,"tablet","Social",1063,4,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-07,"desktop","(Other)",213,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-07,"mobile","(Other)",186,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-07,"tablet","(Other)",53,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-07,"desktop","Direct",1116,30,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-07,"mobile","Direct",2923,4,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-07,"tablet","Direct",346,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-07,"desktop","Display",31830,38,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-07,"mobile","Display",25587,38,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-07,"tablet","Display",6430,21,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-07,"desktop","Organic Search",7758,76,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-07,"mobile","Organic Search",5606,42,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-07,"tablet","Organic Search",797,8,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-07,"desktop","Paid Search",1488,13,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-07,"mobile","Paid Search",2657,17,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-07,"tablet","Paid Search",452,4,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-07,"desktop","Referral",2072,13,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-07,"mobile","Referral",823,8,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-07,"tablet","Referral",239,0,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-07,"desktop","Social",479,17,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-07,"mobile","Social",4756,30,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-07,"tablet","Social",611,0,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-08,"desktop","(Other)",239,8,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-08,"mobile","(Other)",80,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-08,"desktop","Direct",744,4,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-08,"mobile","Direct",2285,13,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-08,"tablet","Direct",159,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-08,"desktop","Display",10521,25,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-08,"mobile","Display",10920,21,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-08,"tablet","Display",1302,0,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-08,"desktop","Organic Search",5367,46,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-08,"mobile","Organic Search",6004,55,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-08,"tablet","Organic Search",983,30,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-08,"desktop","Paid Search",1913,21,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-08,"mobile","Paid Search",2444,13,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-08,"tablet","Paid Search",664,13,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-08,"desktop","Referral",1116,13,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-08,"mobile","Referral",452,0,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-08,"tablet","Referral",239,0,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-08,"desktop","Social",452,13,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-08,"mobile","Social",5579,8,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-08,"tablet","Social",531,8,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-09,"tablet","(Other)",26,0,3,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0
2016-01-09,"desktop","Direct",771,8,1,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-09,"mobile","Direct",3082,30,2,0,1,0,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-09,"tablet","Direct",425,0,3,0,0,1,2,0,1,0,0,0,0,0,0,1,1,0,0
2016-01-09,"desktop","Display",4995,30,1,1,0,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-09,"mobile","Display",8980,21,2,0,1,0,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-09,"tablet","Display",1488,13,3,0,0,1,3,0,0,1,0,0,0,0,0,1,1,0,0
2016-01-09,"desktop","Organic Search",5234,34,1,1,0,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-09,"mobile","Organic Search",7121,55,2,0,1,0,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-09,"tablet","Organic Search",1249,21,3,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,0
2016-01-09,"desktop","Paid Search",1249,8,1,1,0,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-09,"mobile","Paid Search",2657,25,2,0,1,0,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-09,"tablet","Paid Search",718,8,3,0,0,1,5,0,0,0,0,0,1,0,0,1,1,0,0
2016-01-09,"desktop","Referral",1063,8,1,1,0,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-09,"mobile","Referral",664,4,2,0,1,0,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-09,"tablet","Referral",372,4,3,0,0,1,6,0,0,0,0,0,0,1,0,1,1,0,0
2016-01-09,"desktop","Social",266,4,1,1,0,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-09,"mobile","Social",4783,17,2,0,1,0,7,0,0,0,0,0,0,0,1,1,1,0,0
2016-01-09,"tablet","Social",372,0,3,0,0,1,7,0,0,0,0,0,0,0,1,1,1,0,0
