"","date","sessions","transactions","clicks","impressions","ctr","position"
"78",2016-08-19,793,53,329,33666,0.00977247074199489,13.7874116319135
"79",2016-08-20,673,59,256,15876,0.0161249685059209,20.7782816830436
"80",2016-08-21,740,70,304,16636,0.0182736234671796,20.6921134888194
"81",2016-08-22,1024,81,392,36464,0.0107503290917069,14.5688350153576
"82",2016-08-23,1003,62,328,23367,0.0140368896306757,17.7335558693885
"83",2016-08-24,917,64,302,25206,0.0119812742997699,17.598309926208
"84",2016-08-25,855,70,318,17752,0.0179134745380802,20.4888463271744
"85",2016-08-26,741,57,287,25054,0.0114552566456454,15.5956733455736
"86",2016-08-27,633,67,232,16812,0.013799666904592,21.3807399476564
"87",2016-08-28,566,52,253,16513,0.0153212620359717,22.2272149215769
"88",2016-08-29,668,63,287,16269,0.0176409121642387,20.2886471202901
